,Unnamed: 0,id,d_1,d_2,d_3,d_4,d_5,d_6,d_7,d_8,d_9,d_10,d_11,d_12,d_13,d_14,d_15,d_16,d_17,d_18,d_19,d_20,d_21,d_22,d_23,d_24,d_25,d_26,d_27,d_28
0,0,HOBBIES_1_001_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,HOBBIES_1_002_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,HOBBIES_1_003_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,HOBBIES_1_004_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,HOBBIES_1_005_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,HOBBIES_1_006_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,HOBBIES_1_007_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,HOBBIES_1_008_CA_1_validation,12,15,0,0,0,4,6,5,7,0,13,2,2,20,9,3,0,1,0,0,0,10,4,4,2,6,2,0
8,8,HOBBIES_1_009_CA_1_validation,2,0,7,3,0,2,3,9,0,0,4,3,1,0,4,4,1,2,0,1,1,5,2,2,2,3,0,0
9,9,HOBBIES_1_010_CA_1_validation,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0
10,10,HOBBIES_1_011_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,HOBBIES_1_012_CA_1_validation,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,3,0,1,1,3,1,1,0,0,0,1
12,12,HOBBIES_1_013_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,HOBBIES_1_014_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,HOBBIES_1_015_CA_1_validation,4,0,0,5,0,0,0,0,0,0,0,25,0,9,2,1,14,5,0,0,0,7,18,8,15,0,7,1
15,15,HOBBIES_1_016_CA_1_validation,5,1,3,0,15,32,1,5,2,7,0,1,1,2,0,9,1,3,0,0,0,0,5,18,40,0,0,0
16,16,HOBBIES_1_017_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,HOBBIES_1_018_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,HOBBIES_1_019_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,HOBBIES_1_020_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,2,1,0,0,0
20,20,HOBBIES_1_021_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,HOBBIES_1_022_CA_1_validation,2,1,1,1,0,0,1,1,0,1,2,1,2,0,1,1,0,1,0,2,0,0,0,1,2,1,0,1
22,22,HOBBIES_1_023_CA_1_validation,2,1,0,0,2,1,3,7,2,0,3,0,0,0,4,1,0,0,1,0,3,0,0,0,0,0,0,0
23,23,HOBBIES_1_024_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,HOBBIES_1_025_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,HOBBIES_1_026_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,HOBBIES_1_027_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,HOBBIES_1_028_CA_1_validation,0,0,0,0,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,HOBBIES_1_029_CA_1_validation,2,0,3,0,0,2,2,0,0,0,0,0,4,0,6,2,1,1,2,2,2,0,1,2,0,2,1,0
29,29,HOBBIES_1_030_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,HOBBIES_1_031_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
31,31,HOBBIES_1_032_CA_1_validation,9,0,5,16,8,9,26,9,1,2,7,19,26,8,12,4,1,2,3,2,52,15,7,54,3,9,0,0
32,32,HOBBIES_1_033_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,HOBBIES_1_034_CA_1_validation,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0
34,34,HOBBIES_1_035_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,HOBBIES_1_036_CA_1_validation,2,1,0,0,0,0,0,0,2,7,1,0,0,0,2,5,0,5,2,1,0,0,1,3,0,0,1,1
36,36,HOBBIES_1_037_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,HOBBIES_1_038_CA_1_validation,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,3,0,0,0,0,1,1,2,2,0,0,0,1
38,38,HOBBIES_1_039_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,HOBBIES_1_040_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
