id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28
FOODS_1_001_CA_1_validation,3,0,0,1,4,2,0,2,0,0,0,0,3,1,3,0,2,1,2,0,2,1,2,0,2,2,2,4
FOODS_1_001_CA_2_validation,2,0,0,0,1,0,8,0,4,1,2,1,1,3,4,1,2,2,2,0,1,1,1,1,2,3,16,0
FOODS_1_001_CA_3_validation,1,2,1,1,1,2,0,1,1,1,0,0,3,3,2,7,1,2,4,0,1,1,3,2,0,0,0,0
FOODS_1_001_CA_4_validation,0,1,1,1,1,1,0,0,0,0,0,0,1,2,1,0,1,0,0,1,0,2,0,1,0,1,1,0
FOODS_1_001_TX_1_validation,0,1,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2,0
FOODS_1_001_TX_2_validation,0,0,1,2,0,4,0,0,2,2,0,1,2,0,0,4,4,1,0,1,2,0,0,1,0,3,1,1
FOODS_1_001_TX_3_validation,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2,1,1,0,1,0,0,0,1,0,0
FOODS_1_001_WI_1_validation,0,2,0,1,0,5,0,0,1,1,0,0,1,0,2,0,0,1,2,0,7,0,0,0,0,2,1,2
FOODS_1_001_WI_2_validation,0,0,0,0,0,1,2,1,1,1,0,0,0,1,2,0,1,1,1,1,4,1,1,0,0,2,3,1
FOODS_1_001_WI_3_validation,0,0,0,0,0,3,0,0,0,3,0,2,1,4,2,6,0,0,0,3,0,2,1,1,1,0,0,0
FOODS_1_002_CA_1_validation,0,1,0,1,1,1,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_002_CA_2_validation,2,1,1,0,2,2,0,1,0,0,1,0,0,0,5,3,0,0,0,0,0,3,0,0,1,2,1,2
FOODS_1_002_CA_3_validation,1,0,1,2,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
FOODS_1_002_CA_4_validation,0,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
FOODS_1_002_TX_1_validation,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0
FOODS_1_002_TX_2_validation,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
FOODS_1_002_TX_3_validation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FOODS_1_002_WI_1_validation,0,1,0,0,0,0,1,4,0,1,0,0,1,0,1,1,0,2,0,0,0,2,2,1,0,0,0,1
FOODS_1_002_WI_2_validation,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_002_WI_3_validation,0,1,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,1,0,0,3,0,1,0,0,1,1,2
FOODS_1_003_CA_1_validation,0,0,0,0,1,3,1,1,1,0,1,0,0,2,1,1,1,0,0,1,0,2,4,1,1,2,1,0
FOODS_1_003_CA_2_validation,8,2,2,1,0,0,0,1,2,1,0,5,1,1,2,1,4,3,0,0,3,0,4,3,3,0,1,3
FOODS_1_003_CA_3_validation,1,1,1,3,0,2,1,1,1,1,1,0,0,2,3,5,1,5,0,0,0,2,2,0,1,2,2,0
FOODS_1_003_CA_4_validation,0,1,0,0,1,0,5,0,0,0,3,1,0,3,0,0,0,0,0,6,1,0,2,0,0,0,0,1
FOODS_1_003_TX_1_validation,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0
FOODS_1_003_TX_2_validation,0,2,0,0,1,0,0,0,1,0,1,0,0,1,5,3,0,1,1,2,0,1,0,1,1,0,1,0
FOODS_1_003_TX_3_validation,1,0,0,2,0,0,0,1,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FOODS_1_003_WI_1_validation,4,0,0,0,0,0,3,1,2,2,0,1,0,3,5,2,3,0,1,2,3,9,0,2,4,0,0,2
FOODS_1_003_WI_2_validation,0,2,0,0,0,0,0,1,0,1,0,1,2,1,1,2,1,0,0,1,0,5,1,0,0,1,0,0
FOODS_1_003_WI_3_validation,0,0,0,0,0,2,3,3,3,1,2,0,0,3,3,0,0,0,1,0,0,3,1,0,2,1,0,1
FOODS_1_004_CA_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_004_CA_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_004_CA_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_004_CA_4_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_004_TX_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_004_TX_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_004_TX_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_004_WI_1_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_004_WI_2_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_004_WI_3_validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_005_CA_1_validation,3,9,3,3,0,2,1,2,1,7,4,0,2,3,6,15,5,0,0,0,1,1,2,3,0,3,4,1
FOODS_1_005_CA_2_validation,8,1,1,0,5,2,0,5,4,12,1,13,6,3,7,6,6,0,2,3,4,13,9,26,2,22,7,4
FOODS_1_005_CA_3_validation,10,3,2,10,1,4,6,1,13,11,2,4,10,3,13,3,1,7,3,4,3,2,9,1,4,6,2,0
FOODS_1_005_CA_4_validation,2,0,0,2,1,0,0,1,1,0,1,1,2,0,1,1,3,0,0,1,2,1,1,2,0,0,2,0
FOODS_1_005_TX_1_validation,2,3,1,0,2,0,1,3,2,0,0,1,0,6,4,5,1,5,0,2,1,3,2,1,0,0,0,0
FOODS_1_005_TX_2_validation,1,1,0,2,1,1,0,2,2,2,2,2,2,1,4,21,2,2,2,1,1,2,2,0,2,1,1,0
